domain,icon,action
amazon.com,,
bebo.com,,
bit.ly,,
blogger.com,,
delicious.com,,
diigo.com,,
email,icon-email.png,mailto:?subject=Look&body=%SHARE_URL%
evernote.com,,
facebook.com,facebook.com.png,http://www.facebook.com/sharer.php?u=%SHARE_URL%
friendfeed.com,,
google.com,,
hotmail.com,,
identi.ca,,
is.gd,,
j.mp,,
linkedin.com,,
livejournal.com,,
mail.google.com,,
mail.yahoo.com,,
mister-wong.com,,
mozillaca.com,,
myspace.com,,
orkut.com,,
plurk.com,,
posterous.com,,
soup.io,,
stumbleupon.com,stumbleupon.com.png,http://www.stumbleupon.com/submit?url=%SHARE_URL%
tinyurl.com,,
www.tumblr.com,,
evri.com,,
twitter.com,twitter.com.png,http://twitter.com/home?status=%SHARE_URL%
www.typepad.com,,
wordpress.com,,
www.yammer.com,,
